english_sentence,hindi_sentence
0,०
1,१
2,२
3,३
4,४
5,५
6,६
7,७
8,८
9,९
10,१०
11,११
12,१२
13,१३
14,१४
15,१५
16,१६
17,१७
18,१८
19,१९
20,२०
21,२१
22,२२
23,२३
24,२४
25,२५
26,२६
27,२७
28,२८
29,२९
30,३०
31,३१
32,३२
33,३३
34,३४
35,३५
36,३६
37,३७
38,३८
39,३९
40,४०
41,४१
42,४२
43,४३
44,४४
45,४५
46,४६
47,४७
48,४८
49,४९
50,५०
51,५१
52,५२
53,५३
54,५४
55,५५
56,५६
57,५७
58,५८
59,५९
60,६०
61,६१
62,६२
63,६३
64,६४
65,६५
66,६६
67,६७
68,६८
69,६९
70,७०
71,७१
72,७२
73,७३
74,७४
75,७५
76,७६
77,७७
78,७८
79,७९
80,८०
81,८१
82,८२
83,८३
84,८४
85,८५
86,८६
87,८७
88,८८
89,८९
90,९०
91,९१
92,९२
93,९३
94,९४
95,९५
96,९६
97,९७
98,९८
99,९९
100,१००
101,१०१
102,१०२
103,१०३
104,१०४
105,१०५
106,१०६
107,१०७
108,१०८
109,१०९
110,११०
111,१११
112,११२
113,११३
114,११४
115,११५
116,११६
117,११७
118,११८
119,११९
120,१२०
1.1,१.१
1.2,१.२
1.3,१.३
1.4,१.४
1.5,१.५
1.6,१.६
1.7,१.७
1.8,१.८
1.9,१.९
2.1,२.१
2.2,२.२
2.3,२.३
2.4,२.४
2.5,२.५
2.6,२.६
2.7,२.७
2.8,२.८
2.9,२.९
3.1,३.१
3.2,३.२
Alpinia.,अल्पीनिया।
Galanga.,गैलांगा।
Alpinia.,अल्पीनिया।
Alpinia Galanga.,अल्पीनिया गैलंगा।
Siamese.,सियामीज़।
Ginger.,अदरक।
Siamese.,सियामीज़।
Siamese Ginger.,सियामीज़ अदरक।
Galangal.,गलांगल।
Galangal.,गलांगल।
Greater.,अधिक से अधिक।
Galangal.,गलांगल।
Greater.,अधिक से अधिक।
Greater Galangal.,ग्रेटर गैलंगल।
Thai.,थाई।
Ginger.,अदरक।
Thai.,थाई।
Thai Ginger.,थाई अदरक।
Zingiberaceae.,जिंजीबेरेसी।
Zingiberaceae.,जिंजीबेरेसी।
Rasna.,रस्ना
Rasna.,रस्ना
Yukatrasa.,युकात्रास।
Yukatrasa.,युकात्रास।
Sugandha.,सुगंधा।
Sugandha.,सुगंधा।
Shreyasi.,श्रेयसी।
Shreyasi.,श्रेयसी।
Alpinia.,अल्पीनिया।
Galanga.,गैलांगा।
is.,है।
an.,एक।
herbaceous.,शाकाहारी।
plant.,पौधा।
